model,durum,gudumlu,parse_ok,cikti_token,s_rapor,tam_kosu_saat,F1_mask,AUC_mask,kapsam,en_zayif,F1_absent,AUC_absent,F1_half,AUC_half
Qwen2.5-14B-Instruct-AWQ,ok,structured_outputs=StructuredOutputsParams(json=...)  [V1],0.857,462.7,5.242,6.42,0.7591,0.8247,0.775,MCL,0.683,0.7649,0.664,0.8117
Qwen2.5-32B-Instruct-AWQ,ok,structured_outputs=StructuredOutputsParams(json=...)  [V1],0.816,479.1,10.14,12.41,0.8291,0.8698,0.662,MCL,0.6805,0.7601,0.6467,0.8219
